contract_id,blocked,day_or_month_contract,rt_log,n_urls_log,n_urls_1_log,has_urls,has_many_urls,has_both_competitors,has_urls_1,days_from_last_url_log,days_from_first_url,has_top_urls,has_bottom_urls,n_requests_log,n_requests_1_log,has_requests,has_requests_1,has_many_requests,days_from_last_request,days_from_first_request,n_types,has_repeated,has_repeated_last_week,has_repeated_last_month,has_top_types,has_bottom_types,meta,has_urls__has_requests_1,has_urls__has_bottom_types,has_many_urls__has_both_competitors,has_many_urls__has_top_urls,has_many_urls__has_many_requests,has_many_urls__day_or_month_contract,has_both_competitors__has_top_urls,has_urls_1__has_top_urls,has_urls_1__has_requests_1,has_urls_1__has_many_requests,has_urls_1__has_repeated_last_week,has_urls_1__has_repeated_last_month,has_top_urls__has_requests_1,has_top_urls__has_repeated_last_week,has_top_urls__has_bottom_types,has_bottom_urls__day_or_month_contract,has_requests_1__has_repeated,has_requests_1__has_bottom_types,has_many_requests__has_repeated_last_week,has_repeated_last_week__has_bottom_types,has_bottom_types__day_or_month_contract
7780,0,0.0,0.0,4.430816798843313,4.430816798843313,1,0,0,1,0.6931471805599453,2.0,1.0,0.0,2.302585092994046,0.6931471805599453,1,1,1,1,43.0,4,1.0,0.0,1.0,1.0,0.0,0.5536761288611779,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
7785,0,0.0,1.3862943611198906,2.3978952727983707,0.0,1,0,1,0,2.1972245773362196,27.0,1.0,0.0,0.6931471805599453,0.0,1,0,0,30,30.0,1,0.0,0.0,0.0,0.0,0.0,0.21885775016636794,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7794,0,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4893566984811041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7795,0,1.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,2.0794415416798357,0.0,1,0,1,36,52.0,2,1.0,0.0,0.0,1.0,0.0,0.5149174501823448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7798,0,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,1.3862943611198906,0.0,1,0,0,12,47.0,1,1.0,0.0,0.0,1.0,0.0,0.364464947754352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7799,0,0.0,0.0,0.6931471805599453,0.0,1,0,0,0,2.9444389791664403,18.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1279473219681278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7801,0,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.48905418530220085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7805,0,0.0,1.0986122886681096,1.0986122886681096,0.6931471805599453,1,0,0,1,1.3862943611198906,35.0,1.0,0.0,2.1972245773362196,0.6931471805599453,1,1,1,4,35.0,4,1.0,0.0,1.0,1.0,0.0,0.325402967414631,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
7807,0,0.0,0.0,0.6931471805599453,0.0,1,0,0,0,3.4965075614664802,32.0,0.0,0.0,1.3862943611198906,0.0,1,0,0,12,43.0,1,1.0,0.0,1.0,1.0,0.0,0.6606492703772066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7816,0,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4931784784012296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7818,0,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.49645451171105975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7819,0,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,2.0794415416798357,1.6094379124341003,1,1,1,3,34.0,6,1.0,0.0,0.0,1.0,0.0,0.7599048355761017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7821,0,0.0,2.639057329615259,3.4011973816621555,1.9459101490553132,1,0,1,1,1.0986122886681096,33.0,1.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.076694420954039,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7827,0,0.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.6931471805599453,0.0,1,0,0,18,18.0,1,0.0,0.0,0.0,0.0,0.0,0.775443109438219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7828,0,1.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4936499327192966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7834,0,0.0,1.9459101490553132,2.639057329615259,0.0,1,0,1,0,3.295836866004329,33.0,1.0,0.0,1.0986122886681096,0.0,1,0,0,5,30.0,1,1.0,0.0,0.0,1.0,0.0,0.20208437359865292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7837,0,1.0,0.0,0.0,0.0,0,0,0,0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0,0,0,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4935929540610833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
